이체년월,2022-07,,2022-08,,2022-09,,2022-10,,2022-11,,2022-12,,2023-01,,2023-02,,2023-03,,2023-04,,2023-05,,2023-06,
관할지사(급여),수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액
정읍,48069 ,16800328020 ,48379 ,16964933760 ,48650 ,17100384420 ,48911 ,17305889300 ,49173 ,17507196940 ,49443 ,17652066080 ,49875 ,18817785230 ,50019 ,18955143350 ,50121 ,18940611220 ,50201 ,19028166690 ,50252 ,19053993080 ,50320 ,19108861700 
남원순창,17663 ,6280840570 ,17750 ,6338106040 ,17839 ,6411619500 ,17950 ,6477831500 ,18042 ,6548517260 ,18144 ,6611259940 ,18290 ,7051134190 ,18347 ,7115165940 ,18390 ,7113964760 ,18447 ,7155534820 ,18447 ,7192245250 ,18445 ,7188018510 
진안,18841 ,6920774560 ,18940 ,6978800120 ,19066 ,7068068790 ,19142 ,7125972440 ,19251 ,7219440460 ,19327 ,7296643870 ,19514 ,7786221510 ,19571 ,7854349350 ,19613 ,7884472530 ,19658 ,7935923440 ,19666 ,7930864850 ,19693 ,7954413060 
목포,45907 ,17472701740 ,46189 ,17688884190 ,46423 ,17792821470 ,46700 ,18002048770 ,46972 ,18184514030 ,47230 ,18384954340 ,47589 ,19588180040 ,47686 ,19709036020 ,47740 ,19667323200 ,47816 ,19732649160 ,47865 ,19787541230 ,47876 ,19791748910 
해남,35299 ,12407994150 ,35437 ,12498197000 ,35567 ,12573820650 ,35707 ,12683747420 ,35818 ,12790096780 ,35946 ,12941033900 ,36193 ,13703521060 ,36263 ,13872452590 ,36317 ,13818303610 ,36363 ,13895711810 ,36372 ,13907048260 ,36335 ,13881772210 
순천,63419 ,27583389510 ,63846 ,27864279800 ,64308 ,28231187440 ,64793 ,28590941890 ,65303 ,28968416710 ,65765 ,29399699160 ,66365 ,31299704000 ,66540 ,31504499840 ,66686 ,31555216660 ,66820 ,31661404220 ,66922 ,31765794500 ,66964 ,31796732830 
여수,31736 ,14176105570 ,31959 ,14305905050 ,32226 ,14490524790 ,32436 ,14645389570 ,32726 ,14869966850 ,32962 ,15007700280 ,33219 ,16029747260 ,33300 ,16166318330 ,33342 ,16143677810 ,33374 ,16215641050 ,33419 ,16233194330 ,33418 ,16265874740 
나주,28112 ,10435599340 ,28287 ,10536186650 ,28435 ,10637180490 ,28562 ,10728280860 ,28729 ,10851655890 ,28897 ,10973249120 ,29108 ,11674684220 ,29216 ,11774674240 ,29283 ,11802581670 ,29331 ,11838852080 ,29373 ,11885705150 ,29398 ,11925313470 
경주영천,51797 ,23591785160 ,52077 ,23793100610 ,52421 ,24002992690 ,52737 ,24266064270 ,53126 ,24548581740 ,53458 ,24807790120 ,53923 ,26497387780 ,54250 ,26838042350 ,54462 ,26913641580 ,54636 ,27011359230 ,54729 ,27147512830 ,54816 ,27213586420 
포항,72721 ,38539673990 ,73192 ,38872119620 ,73646 ,39153356820 ,74150 ,39633434450 ,74673 ,40054200090 ,75134 ,40472223130 ,75748 ,43065407640 ,76034 ,43492818950 ,76255 ,43489196460 ,76457 ,43705312280 ,76537 ,43815285730 ,76555 ,43866353830 
안동,39283 ,15517659900 ,39456 ,15626159130 ,39617 ,15712565750 ,39795 ,15849461270 ,40051 ,16033085890 ,40285 ,16201380990 ,40650 ,17265780340 ,40797 ,17408105710 ,40933 ,17449412180 ,41040 ,17522653370 ,41077 ,17580796220 ,41081 ,17605379650 
문경,37056 ,14633934310 ,37218 ,14760480600 ,37390 ,14881755700 ,37557 ,15012641680 ,37733 ,15152145100 ,37926 ,15289168540 ,38172 ,16295274450 ,38281 ,16390703190 ,38370 ,16491035430 ,38466 ,16547258280 ,38500 ,16595086080 ,38486 ,16649088320 
구미,50889 ,25337270600 ,51307 ,25631618680 ,51749 ,25931013530 ,52252 ,26321153540 ,52661 ,26683017050 ,53075 ,27009273850 ,53752 ,28919463070 ,54076 ,29323790540 ,54345 ,29378187910 ,54594 ,29588063120 ,54736 ,29731848890 ,54841 ,29854203670 
영주봉화,20845 ,8161660900 ,20942 ,8229356590 ,21026 ,8285406060 ,21150 ,8370922350 ,21259 ,8446661940 ,21392 ,8546168160 ,21568 ,9089058700 ,21637 ,9152612690 ,21686 ,9180485730 ,21707 ,9211753890 ,21727 ,9217536930 ,21728 ,9236748820 
김천성주,26341 ,11174665240 ,26524 ,11282620010 ,26679 ,11369032830 ,26823 ,11500651910 ,27010 ,11653337550 ,27217 ,11763477160 ,27539 ,12584203580 ,27685 ,12721763990 ,27783 ,12735647840 ,27887 ,12825597290 ,27955 ,12870552960 ,27997 ,12894596460 
경산청도,37810 ,16605926350 ,38066 ,16753723730 ,38330 ,16970639440 ,38578 ,17079219810 ,38911 ,17338770500 ,39184 ,17521688340 ,39598 ,18736079520 ,39770 ,18900419180 ,39929 ,18934140000 ,40049 ,19036014550 ,40126 ,19105634650 ,40163 ,19185723240 
창원,69429 ,40091754210 ,70077 ,40651936380 ,70675 ,41099136370 ,71337 ,41594227960 ,71986 ,42274895310 ,72641 ,42773758730 ,73472 ,45781594180 ,73945 ,46330222320 ,74295 ,46428779100 ,74500 ,46716034610 ,74679 ,46847642620 ,74856 ,46977732030 
김해밀양,60821 ,29200923800 ,61344 ,29561219550 ,61851 ,29823291090 ,62452 ,30254989680 ,63030 ,30664483730 ,63572 ,31032353100 ,64275 ,33180377560 ,64598 ,33555197130 ,64836 ,33496728010 ,65051 ,33697528700 ,65185 ,33800116640 ,65318 ,33885628460 
통영,43654 ,23391137390 ,43973 ,23632680250 ,44299 ,23907481630 ,44630 ,24104074290 ,44934 ,24314398110 ,45209 ,24529627160 ,45689 ,26187708580 ,45841 ,26462296370 ,46054 ,26462724710 ,46195 ,26557785570 ,46271 ,26656015890 ,46369 ,26743792080 
진주,48098 ,21021520550 ,48384 ,21238553380 ,48710 ,21417934380 ,49029 ,21642277250 ,49412 ,21891384970 ,49731 ,22147024950 ,50289 ,23697399260 ,50490 ,23922832930 ,50680 ,23927051010 ,50823 ,24001392600 ,50906 ,24049994100 ,50952 ,24106565260 
마산,60840 ,28833461190 ,61219 ,29102602990 ,61636 ,29371877910 ,62033 ,29624836100 ,62468 ,29957719080 ,62883 ,30289891730 ,63435 ,32372470270 ,63624 ,32546817010 ,63818 ,32580180890 ,63935 ,32776647720 ,64039 ,32848511560 ,64191 ,32935009270 
거창,25175 ,9839880060 ,25305 ,9977433070 ,25433 ,10016218880 ,25605 ,10142609470 ,25737 ,10233030430 ,25891 ,10331042720 ,26154 ,11029065330 ,26196 ,11073841040 ,26257 ,11124608230 ,26335 ,11165576510 ,26369 ,11213875400 ,26422 ,11252480150 
양산,34906 ,17490096700 ,35220 ,17675077840 ,35524 ,17924085780 ,35804 ,18099141630 ,36143 ,18323991990 ,36490 ,18611481760 ,36911 ,19876513990 ,37120 ,20075804170 ,37293 ,20159382510 ,37449 ,20242010140 ,37555 ,20351323370 ,37676 ,20406342110 
사천남해,20237 ,8243676420 ,20345 ,8323760380 ,20486 ,8422205920 ,20610 ,8506323160 ,20734 ,8587838790 ,20855 ,8679248620 ,21059 ,9258645910 ,21108 ,9315705330 ,21168 ,9313743870 ,21215 ,9363653770 ,21233 ,9382211020 ,21241 ,9406133880 
제주,42421 ,19014260840 ,42754 ,19249952730 ,43112 ,19476993290 ,43425 ,19689059870 ,43780 ,20006254700 ,44099 ,20122469570 ,44454 ,21489146300 ,44583 ,21620525160 ,44679 ,21565497090 ,44769 ,21617963100 ,44814 ,21670991370 ,44892 ,21711132630 
서귀포,20804 ,8824790780 ,20950 ,8905371370 ,21099 ,8992842640 ,21234 ,9109778970 ,21414 ,9222427520 ,21565 ,9326071690 ,21743 ,9907489240 ,21787 ,10005834650 ,21850 ,10009962530 ,21873 ,10050827070 ,21900 ,10027936230 ,21943 ,10046148920 
