이체년월,2022-07,,2022-08,,2022-09,,2022-10,,2022-11,,2022-12,,2023-01,,2023-02,,2023-03,,2023-04,,2023-05,,2023-06,
관할지사(급여),수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액,수급자수,금액
동작,36903 ,19388272250 ,37124 ,19578449650 ,37333 ,19707978000 ,37479 ,19900043640 ,37705 ,20139552730 ,37935 ,20306128090 ,38091 ,21570932980 ,38048 ,21738652540 ,38053 ,21653171130 ,38046 ,21545199210 ,38065 ,21647836470 ,38050 ,21620087460 
부산지역본부,65106 ,30255614760 ,65456 ,30615775490 ,65930 ,30856732320 ,66471 ,31232247360 ,67038 ,31591292300 ,67552 ,31954149490 ,68048 ,33977109670 ,68218 ,34299495330 ,68408 ,34180415200 ,68547 ,34344135650 ,68586 ,34350546300 ,68661 ,34433528760 
중부산,34341 ,14983800600 ,34506 ,15090217410 ,34642 ,15140166540 ,34788 ,15286055650 ,35003 ,15411788290 ,35186 ,15550730500 ,35405 ,16502491640 ,35441 ,16550540900 ,35484 ,16562194900 ,35444 ,16523927260 ,35443 ,16540111640 ,35494 ,16567226090 
서부산,53630 ,25331891090 ,53971 ,25583968950 ,54397 ,25817473980 ,54805 ,26069964080 ,55199 ,26320011750 ,55568 ,26609760520 ,55968 ,28342855390 ,56101 ,28501304420 ,56229 ,28425298590 ,56312 ,28508580040 ,56367 ,28577151140 ,56410 ,28604990890 
북부산,45303 ,22449095070 ,45687 ,22747613480 ,46108 ,22960634710 ,46461 ,23255428780 ,46885 ,23604832480 ,47270 ,23828376820 ,47743 ,25452042840 ,47897 ,25748029670 ,48031 ,25625533740 ,48114 ,25738882270 ,48184 ,25751599350 ,48304 ,25827844890 
동래금정,59582 ,29506289190 ,59940 ,29840525500 ,60369 ,30015760280 ,60730 ,30336761940 ,61113 ,30587640580 ,61539 ,30905032450 ,61987 ,32899763020 ,62148 ,33139058680 ,62294 ,33110196180 ,62381 ,33165497350 ,62414 ,33255636520 ,62444 ,33280262520 
남부산,52079 ,25334935560 ,52342 ,25493933700 ,52607 ,25645309850 ,52884 ,25855298480 ,53173 ,26080963600 ,53500 ,26348973980 ,53814 ,27950968380 ,53956 ,28187591500 ,54101 ,28172305410 ,54164 ,28277710270 ,54199 ,28268145100 ,54190 ,28283818800 
동부산,58477 ,29908530220 ,58858 ,30230894900 ,59265 ,30489815960 ,59653 ,30765597170 ,60133 ,31214710300 ,60568 ,31528692810 ,61159 ,33619582310 ,61396 ,33992932350 ,61549 ,33884720920 ,61649 ,33940918430 ,61745 ,34019840720 ,61767 ,34046481540 
부산사상,27408 ,13168557560 ,27543 ,13276827600 ,27719 ,13365656880 ,27883 ,13474646090 ,28092 ,13633434370 ,28304 ,13806046430 ,28585 ,14731969520 ,28664 ,14825580290 ,28766 ,14828482800 ,28845 ,14880056040 ,28897 ,14912733020 ,28921 ,14923011180 
대구지역본부,53481 ,25716282220 ,53870 ,25981709130 ,54290 ,26199662950 ,54721 ,26582127730 ,55232 ,26937871070 ,55726 ,27275603580 ,56278 ,29151114100 ,56535 ,29434542490 ,56683 ,29306890080 ,56767 ,29425457660 ,56848 ,29445206000 ,56907 ,29526723550 
